epoch,loss,mse,psnr_metric,ssim_metric,val_loss,val_mse,val_psnr_metric,val_ssim_metric
0,2.7114784717559814,0.11065324395895004,9.882046699523926,0.24172161519527435,2.3591697216033936,0.10072121769189835,10.202715873718262,0.1628400683403015
1,2.0641539096832275,0.08299219608306885,11.394942283630371,0.20481784641742706,1.6220892667770386,0.031954359263181686,15.18407154083252,0.3253355324268341
2,1.326100468635559,0.026751430705189705,16.59644317626953,0.4546738266944885,1.0163806676864624,0.01527025643736124,18.540185928344727,0.5355342030525208
3,1.0283126831054688,0.021017391234636307,17.99565315246582,0.5543737411499023,0.8467491269111633,0.013422246091067791,19.29278564453125,0.6228951811790466
4,0.8803983926773071,0.018928183242678642,18.75765609741211,0.6204543113708496,0.7268121242523193,0.011816258542239666,19.8443603515625,0.6653423309326172
5,0.766041100025177,0.01695314049720764,19.485965728759766,0.6721705198287964,0.6529342532157898,0.011573277413845062,19.894479751586914,0.7153119444847107
6,0.697849690914154,0.01628194935619831,19.8978271484375,0.7128624320030212,0.5451980233192444,0.00958473514765501,21.16160011291504,0.7643182873725891
7,0.629376232624054,0.015295729041099548,20.36655044555664,0.746924638748169,0.5093830227851868,0.010111942887306213,20.792509078979492,0.7877566814422607
8,0.5925894379615784,0.015109572559595108,20.678001403808594,0.7707436084747314,0.4700571596622467,0.011147558689117432,20.381080627441406,0.8012857437133789
9,0.5639892816543579,0.014393562451004982,20.88593864440918,0.7845471501350403,0.44811245799064636,0.008253100328147411,21.972787857055664,0.8230342864990234
10,0.548250138759613,0.014667091891169548,21.08332061767578,0.7934473752975464,0.4304625988006592,0.007957584224641323,22.187803268432617,0.832141637802124
11,0.5387528538703918,0.014078552834689617,21.20084571838379,0.8003365397453308,0.4346945583820343,0.007869800552725792,21.992807388305664,0.8260810375213623
12,0.5148262977600098,0.01349136047065258,21.57609748840332,0.807586669921875,0.4244820177555084,0.00802920013666153,22.50236701965332,0.8428069949150085
13,0.5184608697891235,0.014128311537206173,21.424251556396484,0.8072596788406372,0.400103360414505,0.007815122604370117,22.225046157836914,0.8411827683448792
14,0.5112826228141785,0.013476396910846233,21.61277961730957,0.8120496273040771,0.40154728293418884,0.007703550159931183,22.360626220703125,0.845831573009491
15,0.4976784288883209,0.01339990645647049,21.652542114257812,0.8160243630409241,0.39098405838012695,0.007253529969602823,22.99474334716797,0.8497598171234131
16,0.4917885363101959,0.013168073259294033,21.799304962158203,0.8171257376670837,0.3923661410808563,0.006971679162234068,23.024032592773438,0.8532763123512268
17,0.4906514286994934,0.013326450251042843,21.615543365478516,0.8178889155387878,0.40538153052330017,0.007364717777818441,22.852678298950195,0.8527164459228516
18,0.48025768995285034,0.012934316881000996,21.910146713256836,0.8231779932975769,0.37828078866004944,0.007915218360722065,22.617006301879883,0.8557534217834473
19,0.47145041823387146,0.012910811230540276,21.976806640625,0.8231383562088013,0.3761100769042969,0.007859026081860065,22.42038917541504,0.8511198163032532
20,0.4789910912513733,0.01343853771686554,21.62999725341797,0.8197411298751831,0.3881860077381134,0.008269209414720535,22.12994384765625,0.8493511080741882
21,0.47482800483703613,0.013010961934924126,21.66731834411621,0.8203964233398438,0.36405861377716064,0.0073877000249922276,22.738149642944336,0.8538044095039368
22,0.4678618311882019,0.012982586398720741,21.89008140563965,0.8223940134048462,0.3534984886646271,0.007048582658171654,23.287858963012695,0.8569998145103455
